project,unit,type,parent,countries,status,start_year,capacity,geom,route,url
Iraq-Iran Oil Pipeline,,oil_pipelines,Unknown [unknown %],"Iraq, Iran",cancelled,,,line,"35.491008,44.454248:33.283623,44.454248:32.622184,44.531152:30.91535,46.052758:30.345791,48.277489",https://www.gem.wiki/Iraq-Iran_Oil_Pipeline
Iraqi Pipeline in Saudi Arabia (IPSA),,oil_pipelines,Saudi Aramco [100.00%],"Iraq, Saudi Arabia",mothballed,1987,1650000,line,"30.5146,47.780945:29.327065,46.058151:28.200302,47.793991:26.763496,50.019366:21.669229,39.202789",https://www.gem.wiki/Iraqi_Pipeline_in_Saudi_Arabia_(IPSA)
Iron Horse Pipeline,,oil_pipelines,Silver Creek Midstream [50.00%]; Tallgrass Energy [50.00%],United States,operating,2019,100000,line,"42.268986,-104.743107:43.651391,-104.749769",https://www.gem.wiki/Iron_Horse_Pipeline
Iwafune-Oki Oil Pipeline,,oil_pipelines,JAPEX [100.00%],Japan,operating,1990,2500,line,"38.170227,139.368733:38.226415,139.092016",https://www.gem.wiki/Iwafune-Oki_Oil_Pipeline
Jackson to Moomba Oil Pipeline,,oil_pipelines,Santos Limited [100.00%],Australia,operating,2008,,line,"-27.6253,142.3976:-27.6526,142.3654:-27.6714,142.3467:-27.6806,142.3364:-27.7113,142.3062:-27.713,142.2901:-27.7557,142.2618:-27.8144,142.2257:-27.8366,142.2167:-27.8906,142.1949:-27.9139,142.1788:-27.9497,142.1595:-27.9611,142.153:-28.006,142.1266:-28.0213,142.1144:-28.0878,142.079:-28.1025,142.0662:-28.1176,142.0391:-28.1372,141.9822:-28.155,141.905:-28.1791,141.8123:-28.2126,141.7077:-28.2483,141.6151:-28.2602,141.5938:-28.2716,141.5816:-28.2891,141.5269:-28.3033,141.4838:-28.3169,141.4323:-28.3373,141.3757:-28.2863,141.3757:-28.2682,141.3821:-28.2359,141.3796:-28.2115,141.3738:-28.195,141.3635:-28.1956,141.3307:-28.1769,141.3069:-28.1769,141.2444:-28.1604,141.2174:-28.161,141.1399:-28.1616,141.1248:-28.1363,141.0627:-28.1346,141.0221:-28.1292,140.9825:-28.1349,140.9706:-28.1349,140.9581:-28.1332,140.951:-28.1323,140.9417:-28.1394,140.933:-28.1406,140.9134:-28.1448,140.9098:-28.1468,140.8944:-28.1539,140.8638:-28.1539,140.8587:-28.1479,140.8513:-28.1562,140.8246:-28.157,140.8059:-28.1414,140.7525:-28.1383,140.7303:-28.1255,140.6656:-28.1054,140.6434:-28.1057,140.6302:-28.1028,140.6209:-28.1062,140.2097:-28.1099,140.2036",https://www.gem.wiki/Jackson_to_Moomba_Oil_Pipeline
Jaguar-Santiago Oil Pipeline,,oil_pipelines,CEPSA [100.00%],Colombia,operating,,20000,line,"4.219438,-72.029192:4.735641,-72.31972",https://www.gem.wiki/Jaguar-Santiago_Oil_Pipeline
Jayhawk Oil Pipeline,,oil_pipelines,CHS Inc [unknown %]; Southwest Pipeline Holding Company LLC [unknown %],United States,operating,1957,140000,line,"38.33994,-98.3101:38.31632,-98.3791:38.27066,-98.4597:38.21567,-98.4597:37.79086,-98.9428:37.13653,-99.5801:37.14054,-100.569:37.14054,-100.569:37.13653,-100.628:36.98422,-100.917:36.81977,-101.266:36.68161,-101.365:36.59734,-101.351:36.52423,-101.407:36.38908,-101.47:36.33833,-101.519:36.26498,-101.519;37.06807,-102.044:37.04013,-101.876:37.14054,-100.569;37.61913,-100.973:37.50258,-100.882:37.47059,-100.889:37.47201,-100.857:37.20989,-100.576:37.14054,-100.569;38.34118,-98.3103:38.26004,-98.095:38.22451,-97.9662:38.17255,-97.8235:38.15066,-97.74:38.04934,-97.6356:37.80504,-97.3816;37.81054,-97.3712:37.81054,-97.138:37.80779,-97.1032:37.78854,-97.0615:37.80229,-96.9014;38.33994,-98.3101:38.32832,-98.0497:38.33377,-97.6809;38.33104,-97.6809:38.13971,-97.6008:37.97531,-97.5104:37.89846,-97.2459:37.80229,-96.9014;40.40562,-99.3225:40.18466,-99.4034:40.04095,-99.4243:40.0143,-99.4173:39.87557,-99.4312:39.79006,-99.299:39.64016,-99.2503:39.40394,-99.1111:39.11834,-98.9093:38.76649,-98.6378:38.62526,-98.5334:38.47239,-98.4217:38.40187,-98.365:38.33994,-98.3101",https://www.gem.wiki/Jayhawk_Oil_Pipeline
Jibai Oil Pipeline,,oil_pipelines,Unknown [unknown %],China,operating,,,line,"37.130850383479356,107.40904282855598:36.76428176376943,107.67958113691695:36.664102808074844,108.12864726297806",https://www.gem.wiki/Jibai_Oil_Pipeline
Jihui Oil Pipeline,,oil_pipelines,Unknown [unknown %],China,operating,,,line,"37.1321642400051,107.40674213946397:37.453697937415896,106.67450156604133",https://www.gem.wiki/Jihui_Oil_Pipeline
Jima Oil Pipeline,Pipeline 1,oil_pipelines,Unknown [unknown %],China,operating,,,line,"37.13209581187289,107.40442471106113:36.2323965272067,107.623192190382",https://www.gem.wiki/Jima_Oil_Pipeline
Jima Oil Pipeline,Pipeline 2,oil_pipelines,Unknown [unknown %],China,operating,,,line,"37.13209581187289,107.40442471106113:36.2323965272067,107.623192190382",https://www.gem.wiki/Jima_Oil_Pipeline
Jing'an-Hui'anpu Oil Pipeline,,oil_pipelines,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,2003,,line,"36.981632,108.609378:37.36892321966896,107.70827216179059:37.0407850814663,107.58467598030587:37.4561855732508,106.67006423731905",https://www.gem.wiki/Jing%27an-Hui%27anpu_Oil_Pipeline
Jing'an-Xianyang Oil Pipeline,,oil_pipelines,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,2001,,line,"36.981632,108.609378:37.03231,108.824953:35.660419,109.356283:35.397381,109.108616:34.900365,108.989481:34.363952,108.773554",https://www.gem.wiki/Jing%27an-Xianyang_Oil_Pipeline
Jing-Wu-Hua-Ma Oil Pipeline,,oil_pipelines,Unknown [unknown %],China,operating,1997,,line,"37.60441772061274,108.79835493551055:36.9072057929898,108.19877753853842:36.60206692112193,108.06588095778045:36.22731986727873,107.64299224299594",https://www.gem.wiki/Jing-Wu-Hua-Ma_Oil_Pipeline
Jingma Oil Pipeline,Pipeline 1,oil_pipelines,Unknown [unknown %],China,operating,,,line,"36.981632,108.609378:36.806204150005875,108.30370430266271:36.66062758101449,108.12692304233956:36.6033612975831,108.06853657104016:36.23140284352476,107.62577249701978:36.2323965272067,107.623192190382",https://www.gem.wiki/Jingma_Oil_Pipeline
Jingma Oil Pipeline,Pipeline 2,oil_pipelines,Unknown [unknown %],China,operating,,,line,"36.981632,108.609378:36.806204150005875,108.30370430266271:36.66062758101449,108.12692304233956:36.6033612975831,108.06853657104016:36.23140284352476,107.62577249701978:36.2323965272067,107.623192190382",https://www.gem.wiki/Jingma_Oil_Pipeline
Jintang-Cezi Oil Pipeline,Pipeline 1,oil_pipelines,Unknown [unknown %],China,proposed,2025,,line,"30.040986190772692,121.90067916262501:30.09399656147549,121.94782317414396",https://www.gem.wiki/Jintang-Cezi_Oil_Pipeline
Jintang-Cezi Oil Pipeline,Pipeline 2,oil_pipelines,Unknown [unknown %],China,proposed,2025,,line,"30.040986190772692,121.90067916262501:30.09399656147549,121.94782317414396",https://www.gem.wiki/Jintang-Cezi_Oil_Pipeline
Jintang-Cezi Oil Pipeline,Pipeline 3,oil_pipelines,Unknown [unknown %],China,proposed,2025,,line,"30.040986190772692,121.90067916262501:30.09399656147549,121.94782317414396",https://www.gem.wiki/Jintang-Cezi_Oil_Pipeline
Jinzhou-Dayou-Panjin Oil Pipeline,,oil_pipelines,Unknown [unknown %],China,proposed,,,line,"41.09541665271275,121.12821855059926:41.179339051899596,121.35793755733768:41.123833177589354,122.06766642890261",https://www.gem.wiki/Jinzhou-Dayou-Panjin_Oil_Pipeline
Johan Svedrup Oil Pipeline,,oil_pipelines,Equinor [42.63%]; BP [31.58%]; Petoro [17.36%]; TotalEnergies SE [8.44%],Norway,operating,2019,755000,line,"58.80632,2.506867:59.423629,3.092762:59.658105,3.452522:59.978495,3.915071:60.280531,4.377619:60.341623,4.521523:60.695724,4.64487:60.821252,4.973793",https://www.gem.wiki/Johan_Svedrup_Oil_Pipeline
Joliet Crude Oil Pipeline,,oil_pipelines,General Electric Company [unknown %]; Zenith Energy [unknown %],United States,operating,,210000,line,"41.41322023324245,-88.19076538370027:41.50012514126853,-88.11137200224276",https://www.gem.wiki/Joliet_Crude_Oil_Pipeline
José Ignacio-La Teja Oil Pipeline,,oil_pipelines,ANCAP [100.00%],Uruguay,operating,,79881,line,"-34.856799,-54.730396:-34.891695,-54.831952:-34.924886,-54.916921:-34.926213,-54.940818:-34.914149,-54.983354:-34.909807,-54.998626:-34.909143,-55.007311:-34.895678,-55.02977:-34.884975,-55.041696:-34.869739,-55.080214:-34.865276,-55.099145:-34.862873,-55.112749:-34.865655,-55.14794:-34.837262,-55.199707:-34.813364,-55.297952:-34.773535,-55.35504:-34.776191,-55.384248:-34.773535,-55.46125:-34.781501,-55.522322:-34.760259,-55.57941:-34.750966,-55.689603:-34.76557,-55.790503:-34.785484,-55.884765:-34.825977,-55.968428:-34.858301,-56.029598:-34.878202,-56.063967:-34.885192,-56.09687:-34.881635,-56.152754:-34.868604,-56.223204:-34.874482,-56.23004",https://www.gem.wiki/Jos%C3%A9_Ignacio-La_Teja_Oil_Pipeline
Jupiter Pipeline,,oil_pipelines,Jupter MLP LLC [100.00%],United States,cancelled,2021,1000000,line,"31.399191,-102.440135:31.35328,-102.441482:31.264492,-102.391351:31.23547,-102.412302:31.12874,-102.186084:31.083327,-102.041817:30.992605,-101.989309:30.917719,-101.869913:30.855071,-101.844499:30.849121,-101.807354:30.829397,-101.802437:30.787524,-101.731106:30.76087,-101.719295:30.71805,-101.62543:30.632023,-101.569795:30.550678,-101.466093:30.493483,-101.36098:30.464433,-101.347018:30.450303,-101.308984:30.387886,-101.271998:30.381125,-101.246369:30.221768,-101.054698:30.223407,-100.977272:30.208851,-100.963485:30.163575,-100.942055:30.027186,-100.926018:29.997958,-100.860181:29.930133,-100.854497:29.913479,-100.819448:29.85161,-100.812199:29.7127,-100.833132:29.524709,-100.635895:29.443084,-100.581413:29.334277,-100.540713:29.224563,-100.356516:29.131536,-100.299992:29.1224,-100.201563:29.082562,-100.107845:28.991601,-99.989309:28.971661,-99.989143:28.903704,-99.885208:28.902127,-99.850975:28.874275,-99.851968:28.859682,-99.787053:28.86932,-99.640839:28.853147,-99.615399:28.835504,-99.410628:28.758685,-99.210679:28.749374,-99.017156:28.727602,-98.946135:28.62914,-98.818312:28.627857,-98.660044:28.600477,-98.504851:28.606411,-98.388728:28.59136,-98.369364:28.559863,-98.186365:28.480783,-98.158034:28.405972,-98.202316:28.303698,-98.127423:27.751871,-97.848853:27.730759,-97.816648:27.600905,-97.773151:27.437613,-97.79232:27.208588,-97.784858:27.171554,-97.801335:26.750039,-97.770584:26.535158,-97.776138:26.24335,-97.637819:26.181659,-97.571006:26.150678,-97.570992:26.129557,-97.539967:26.072545,-97.542583:26.044589,-97.425811:26.020118,-97.423157:25.981294,-97.378583",https://www.gem.wiki/Jupiter_Pipeline
Kalamkas-Karazhanbas-Aktau Oil Pipeline,,oil_pipelines,Samruk-Kazyna SWF JSC [90.00%],Kazakhstan,operating,1979,,line,"45.34567,51.9245:45.3278,51.92257:45.32124,51.91324:45.3088,51.81864:45.31265,51.77714:45.29364,51.66614:45.28979,51.66292:45.27281,51.66485:45.24722,51.66035:45.23091,51.65295:45.21663,51.65263:45.18285,51.65681:45.15654,51.66099:45.15404,51.68126:45.15495,51.65424:45.13067,51.54549:45.08412,51.52136:45.08707,51.50752:45.07185,51.4435:45.07276,51.42516:45.04799,51.4184:44.90642,51.53551:44.85011,51.60598:44.80744,51.65166:44.74829,51.68705:44.64194,51.68609:44.59912,51.72309:44.53631,51.68802:44.47516,51.64298:44.45633,51.60951:44.43911,51.59858:44.42647,51.60887:44.41521,51.5989:44.40418,51.59632:44.39981,51.58699:44.39797,51.56125:44.369,51.53101:44.35428,51.4879:44.34876,51.47728:44.33357,51.46956:44.27117,51.37915:44.24605,51.37851:44.23937,51.37336:44.23614,51.36049:44.15217,51.26847:43.82787,51.29614:43.81487,51.30805:43.80094,51.30998:43.7661,51.31609:43.75634,51.33025:43.75123,51.33443:43.71961,51.34086:43.70636,51.36306:43.69217,51.38269:43.66727,51.38205:43.64143,51.36371:43.63375,51.37014:43.58296,51.30193:43.59741,51.27845:43.58692,51.2556:43.59555,51.24048",https://www.gem.wiki/Kalamkas-Karazhanbas-Aktau_Oil_Pipeline
Kaleykino–Nizhnekamsk Refinery Oil Pipeline,,oil_pipelines,Tatneft [100.00%],Russia,operating,2009,,line,"54.924577,52.214241:55.580531351633816,51.91601077392618",https://www.gem.wiki/Kaleykino%E2%80%93Nizhnekamsk_Refinery_Oil_Pipeline
Kaltasy-Samara Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,,,line,"56.00576,54.53558:55.95622,54.49244:55.94332,54.49082:55.85257,54.39188:55.83545,54.38247:55.71631,54.22515:55.65743,54.1979:55.61312,54.10058:55.59479,54.00781:55.52508,53.91568:55.45488,53.86702:55.39892,53.84626:55.32037,53.84107:55.22908,53.7444:55.12869,53.68991:55.0392,53.62503:54.99531,53.35319:54.93012,53.22409:54.81739,53.07941:54.77513,52.94057:54.76315,52.77708:54.7856,52.72907:54.7856,52.66679:54.79383,52.6337:54.78317,52.43972:54.84486,52.30023:54.90906,52.22335:54.74612,52.20908:54.60732,52.26747:54.40089,52.26617:54.34042,52.13512:54.28062,52.07803:54.21087,51.9353:54.05959,51.84642:53.99328,51.63881:53.88596,51.47986:53.78719,51.43834:53.70739,51.18402:53.67128,51.02572:53.60743,50.86871:53.43386,50.70912:53.41066,50.69874:53.34835,50.62218:53.31891,50.5586:53.21375,50.51967:53.07016,50.52876:53.00774,50.53054",https://www.gem.wiki/Kaltasy-Samara_Oil_Pipeline
Kaltasy-Ufa 2 Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,1967,,line,"55.987724,54.523172:55.111912,54.854951",https://www.gem.wiki/Kaltasy-Ufa_2_Oil_Pipeline
Kaltasy-Yazykovo-Salavat Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,1974,,line,"56.00279,54.52967:55.95583,54.49099:55.93253,54.48369:55.88344,54.43187:55.82239,54.545:55.77891,54.59974:55.75468,54.70338:55.69014,54.80483:55.63045,54.84425:55.50995,54.87636:55.46653,54.80556:55.40442,54.80702:55.30857,54.82454:55.23248,54.79243:55.10241,54.8552:55.03094,54.78002:54.94551,54.86833:54.86411,54.84863:54.78338,54.78367:54.73621,54.79243:54.63326,54.78805:54.59395,54.83476:54.57111,54.83914:54.55842,54.85301:54.53683,54.85885:54.33944,55.05956:54.20477,55.07562:54.12443,55.21575:54.03108,55.30845:53.81748,55.46975:53.64174,55.81644:53.50566,55.87191:53.4431,55.87191",https://www.gem.wiki/Kaltasy-Yazykovo-Salavat_Oil_Pipeline
Kamenny Log-Perm Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,1961,,line,"58.325492,56.660614:57.799225,55.884705",https://www.gem.wiki/Kamenny_Log-Perm_Oil_Pipeline
Kamphaeng Phet–Lampang Oil Pipeline,,oil_pipelines,Bangkok Aviation Fuel Services (BAF) [100.00%],Thailand,operating,2021,9000000000,line,"17.903986,99.310339:17.81275,99.251892:17.728149,99.249554:17.710333,99.268257:17.54991,99.191106:17.170571,99.132659:17.143765,99.092914:17.083436,99.09759:17.043207,99.134996:16.891149,99.137334:16.687469,99.345408:16.640435,99.4436:16.530644,99.516075",https://www.gem.wiki/Phichit%E2%80%93Lampang_Oil_Pipeline
Kansas Express Oil Pipeline,,oil_pipelines,American Midstream Partners [100.00%],United States,cancelled,2014,,line,"37.269512,-99.326892:35.981505,-96.764552",https://www.gem.wiki/Kansas_Express_Oil_Pipeline
Karabash-Almetyevsk-Kaleykino Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,1965,,line,"54.69308,52.57663:54.90137,52.29695:54.93141,52.18825",https://www.gem.wiki/Karabash-Almetyevsk-Kaleykino_Oil_Pipeline
Karachaganak-Atyrau Oil Pipeline,,oil_pipelines,Eni S.p.A. [29.30%]; Shell [29.30%]; Chevron [18.00%]; PJSC Lukoil [13.50%]; Samruk-Kazyna SWF JSC [9.00%]; National Bank of the Republic of Kazakhstan [1.00%],Kazakhstan,operating,2003,,line,"51.362343952192255,53.20682955370446:50.924811190934534,51.15241190296629:47.097120353213754,51.96205026637491",https://www.gem.wiki/Karachaganak-Atyrau_Oil_Pipeline
Karachi-Mahmoodkot (KMK) Pipeline,,oil_pipelines,Pak-Arab Refinery Limited [62.00%]; Shell [26.00%]; Pakistan State Oil [12.00%]; TotalEnergies SE [11.00%],Pakistan,operating,1981,,line,"24.908489,66.941023:26.501361,67.727799:27.570437,68.200211:27.960511,68.636918:28.922826,70.221225:30.203289,71.009494",https://www.gem.wiki/Karachi-Mahmoodkot_(KMK)_Pipeline
Karamay–Dushanzi/Ürümqi Oil Pipeline,,oil_pipelines,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,1959,,line,"45.62948,85.064874:44.353876,84.824986;45.62948,85.064874:43.867591,87.369162",https://www.gem.wiki/Karamay%E2%80%93Dushanzi/%C3%9Cr%C3%BCmqi_Oil_Pipeline
Karnes North Pipeline System,,oil_pipelines,TexStar Midstream Logistics [100.00%],United States,operating,2014,30000,line,"28.885033,-97.901177:29.256055,-98.332894",https://www.gem.wiki/Karnes_North_Pipeline_System
Kaw Oil Pipeline,,oil_pipelines,CHS Inc [unknown %]; Southwest Pipeline Holding Company LLC [unknown %],United States,operating,1957,140000,line,"38.33994,-98.3101:38.37634,-98.3302:38.70119,-98.818:38.83632,-98.9615:38.83632,-98.9615:38.82344,-99.1842:38.75156,-99.3199:38.82239,-99.4319:38.84039,-99.493:38.79226,-99.6322:38.75835,-99.64:38.72306,-99.7236:38.61166,-100.037;38.83632,-98.9615:39.00846,-99.0809:39.09944,-99.1737:39.15073,-99.2433:39.16692,-99.5148:39.19775,-99.5708:39.2532,-99.6035:39.29092,-99.6922:39.36898,-99.8106",https://www.gem.wiki/Kaw_Oil_Pipeline
Kazakhstan Caspian Transportation System,,oil_pipelines,Government of Kazakhstan [100.00%],Kazakhstan,cancelled,2023,600000,line,"47.362559,52.609846:46.986299,53.98422:45.328684,55.16933:44.166148,53.279682:43.179595,51.677091",https://www.gem.wiki/Kazakhstan_Caspian_Transportation_System
Kazakhstan-China Pipeline,Atasu-Alashankou,oil_pipelines,China National Petroleum Corporation [50.00%]; Samruk-Kazyna SWF JSC [50.00%],"Kazakhstan, China",operating,2006,,line,"48.652028,71.615357:48.136664,73.10797:47.663576,76.313372:47.29534,78.568961:46.197225,81.040102:45.187108,82.557755",https://www.gem.wiki/Kazakhstan-China_Pipeline
Kazakhstan-China Pipeline,Kenkiyak-Kumkol,oil_pipelines,China National Petroleum Corporation [50.00%]; Samruk-Kazyna SWF JSC [50.00%],Kazakhstan,operating,2009,,line,"48.584035,57.118515:48.822767852463656,57.87206688939831:48.75943657132788,58.157711433137564:46.76681376913282,61.77903068881295:46.422425,65.721759",https://www.gem.wiki/Kazakhstan-China_Pipeline
Kazakhstan-China Pipeline,Kenkiyak-Atyrau Oil Pipeline,oil_pipelines,China National Petroleum Corporation [73.99%]; Samruk-Kazyna SWF JSC [26.01%],Kazakhstan,operating,2004,,line,"47.11296,51.89013:47.31752,52.36888:47.34368,52.57736:47.51085,52.94029:47.68788,53.25688:47.75022,53.83601:47.82286,54.46919:48.01433,55.02515:48.29251,55.68922:48.33873,55.73555:48.45152,56.12164:48.47712,56.53089:48.58961,57.15635",https://www.gem.wiki/Kazakhstan-China_Pipeline
Kenkiyak-Orsk Oil Pipeline,,oil_pipelines,Samruk-Kazyna SWF JSC [90.00%],"Kazakhstan, Russia",mothballed,,,line,"48.60539311284889,57.11036557298143:51.19790726387507,58.52784102386653",https://www.gem.wiki/Kenkiyak-Orsk_Oil_Pipeline
Keystone HoustonLink Oil Pipeline,,oil_pipelines,Magellan Midstream Partners [50.00%]; TC Energy [50.00%],United States,operating,2017,,line,"29.80103371950581,-95.27975581426881:29.75260992148564,-95.10723614228263",https://www.gem.wiki/Keystone_HoustonLink_Oil_Pipeline
Keystone Oil Pipeline,Mainline (Phase 1),oil_pipelines,TC Energy [100.00%],"Canada, United States",operating,2010,700000,line,"52.674837,-111.303819:50.929135,-110.007432:50.221012,-104.618638:49.66246,-97.587388:40.037194,-97.022476:35.980949,-96.765238;40.037194,-97.022476:38.760876,-89.108024;35.980949,-96.765238:30.091144,-94.758643;30.091144,-94.758643:29.735237,-95.417823;30.091144,-94.758643:29.880617,-93.929176",https://www.gem.wiki/Keystone_Oil_Pipeline
Keystone Oil Pipeline,Phase 2,oil_pipelines,TC Energy [100.00%],United States,operating,2011,156000,line,"40.036630445683556,-97.02253712972418:35.98963878478932,-96.69589240136014",https://www.gem.wiki/Keystone_Oil_Pipeline
Keystone Port Neches Link Oil Pipeline,,oil_pipelines,Saudi Aramco [unknown %]; TC Energy [unknown %],United States,operating,2023,630000,line,"29.990597280091666,-94.00310891538219:29.991551900477234,-93.939586901934",https://www.gem.wiki/Keystone_Port_Neches_Link_Oil_Pipeline
Keystone XL Oil Pipeline,,oil_pipelines,TC Energy [100.00%],"Canada, United States",cancelled,2023,830000,line,"52.9727,-111.2633:50.6874,-110.2757:50.2917,-109.8272:48.6068,-107.6405:47.5371,-106.3425:46.604,-105.2897:45.9561,-104.6695:45.412,-104.1503:45.0361,-103.9628:43.2773,-101.4533:43.0985,-100.9773:42.9192,-100.3283:41.9702,-99.506:41.4059,-98.2835:41.147,-97.8279:40.8114,-97.3167:40.6092,-97.2278:40.4118,-97.1589:40.1482,-97.131",https://www.gem.wiki/Keystone_XL_Oil_Pipeline
Khadyzhensk-Krasnodar Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,operating,1989,,line,"44.46063,39.51655:44.472011,39.487267:44.478197,39.46744:44.49724,39.458599:44.503117,39.457912:44.532371,39.482288:44.555983,39.508209:44.571271,39.512501:44.605013,39.503059:44.619188,39.492245:44.630673,39.48658:44.655589,39.461002:44.669263,39.436455:44.677564,39.41946:44.682202,39.396801:44.689891,39.38427:44.697335,39.346848:44.706486,39.323673:44.724296,39.303074:44.733808,39.28196:44.74512,39.26081:44.76124,39.248314:44.7995,39.240417:44.834326,39.226513:44.882269,39.185143:44.891877,39.155273:44.916681,39.078369:44.960425,39.063263:44.99855,38.96468",https://www.gem.wiki/Khadyzhensk-Krasnodar_Oil_Pipeline
Kharyaga-Yuzhnoe Khilchuyu Oil Pipeline,,oil_pipelines,PJSC Lukoil [100.00%],Russia,operating,2012,,line,"67.142167,56.653056:68.1677218747947,55.37503058393613",https://www.gem.wiki/Kharyaga-Yuzhnoe_Khilchuyu_Oil_Pipeline
Kharyaga–Indiga Oil Pipeline,,oil_pipelines,Transneft [100.00%],Russia,cancelled,,240000,line,"67.19015333397533,56.68906914698766:67.66549137155899,49.05182164338146",https://www.gem.wiki/Kharyaga%E2%80%93Indiga_Oil_Pipeline
